JWTRNS,ymin,lower,middle,upper,ymax
Bicycle,-8351.0352,20038.698,42213.5955,86814.3943,186977.71199999997
Bus,-9574.044600000001,16781.2071,31923.023999999998,59218.55,122784.2358
"Car, truck, or van",-13264.9552,26700.11532,46901.0916,78256.70988,155584.42524
"Light rail, streetcar, or trolley",-2047.6339679999999,29056.112100000002,56849.808000000005,102609.71999999999,212255.478
Motorcycle,-9356.5309,30793.646,54200.172,89172.20610000001,176716.74
Subway or elevated rail,-9858.861,31269.329999999998,59218.55,104387.94,213968.7642
Taxicab,-9858.861,16698.915,30793.646,57005.399999999994,117431.124
Walked,-11488.3987,11598.66,29609.275,62434.4289,138627.363
Worked from home,-11843.710000000001,37395.5424,71248.704,121345.44900000001,247267.43852999998
