JWMNP_bin,avg_weighted_PINCP_adjusted
"[0,15]",58807.858139971315
"(15,30]",67233.52870931383
"(30,45]",74466.25506312758
"(45,60]",75372.27362301896
"(60,75]",86466.59951117993
"(75,90]",80096.2083042903
"(90,105]",81528.53823553928
"(105,120]",72880.8840042906
"(120,135]",67957.28811328826
"(135,150]",74422.14578769635
"(150,165]",69679.37843984498
"(180,195]",83628.88167420532
"(195,210]",99372.84427005077
NA,98966.36376953089
