RAC1P,weighted_median,weighted_mean
Alaska Native alone,18000,31303.03244670817
American Indian alone,20000,30636.902764235016
Asian alone,31000,54797.41134572641
Black or African American alone,23000,34124.026721907285
Some Other Race alone,22000,30392.92836490936
Two or More Races,24000,37913.93597923011
White alone,34000,50058.241661561085
