sum(PWGTP),SCHL_grouped,PINCP_adjusted
344,N/A,459000
17687,Masters degree,249000
4220,Bachelors degree,339000
6591,Bachelors degree,540000
44510,Bachelors degree,132000
2374,Masters degree,357000
35788,Associates degree,122000
4266,N/A,181000
660,Regular high school diploma,380000
13896,Pre-degree college,165000
778,Pre-degree college,434000
1569,N/A,289000
3452,Regular high school diploma,190000
10175,Pre-degree college,237000
3860,GED or alternative credential,136000
155,GED or alternative credential,617000
2537,Bachelors degree,652000
5924,Pre-degree college,-8000
10010,Regular high school diploma,144000
2397,N/A,216000
28611,Associates degree,113000
5321,Pre-degree college,185000
2978,Masters degree,534000
3190,Masters degree,346000
386,Bachelors degree,684000
9043,Associates degree,138000
3168,Regular high school diploma,187000
4033,Regular high school diploma,170000
57,Pre-diploma grade,366000
1964,Associates degree,222000
127,Pre-degree college,883000
3946,Bachelors degree,280000
3795,Bachelors degree,353000
24679,Masters degree,179000
5729,Masters degree,506000
164,N/A,529000
2013,Associates degree,190000
2077,Masters degree,452000
1671,GED or alternative credential,172000
5755,Pre-degree college,187000
2269,Masters degree,495000
1926,Pre-degree college,319000
256,Bachelors degree,887000
7719,Masters degree,289000
9598,N/A,141000
19325,GED or alternative credential,74000
1493,Masters degree,728000
5987,Regular high school diploma,164000
9292,Pre-diploma grade,96000
3050,N/A,230000
9802,N/A,228000
4495,GED or alternative credential,117000
7515,Pre-degree college,170000
1936,Bachelors degree,504000
2472,Masters degree,730000
3675,Bachelors degree,324000
856,N/A,506000
3105,Associates degree,185000
7648,Regular high school diploma,165000
3819,Associates degree,170000
8722,N/A,261000
7302,Masters degree,301000
5338,Bachelors degree,340000
4060,Bachelors degree,643000
1581,Masters degree,453000
175,Pre-diploma grade,265000
560,Regular high school diploma,404000
2704,Masters degree,543000
128,Pre-diploma grade,640000
5875,Pre-degree college,211000
39,Bachelors degree,1107000
12897,Masters degree,218000
14002,N/A,146000
4323,Bachelors degree,344000
1505,Pre-degree college,309000
1833,Masters degree,431000
2862,Masters degree,321000
3417,Masters degree,448000
1279,Bachelors degree,580000
950,Bachelors degree,672000
2176,Bachelors degree,481000
228,Masters degree,1180000
598,Masters degree,779000
265,GED or alternative credential,236000
12807,Bachelors degree,257000
3011,Masters degree,-1000
2496,Masters degree,601000
5929,GED or alternative credential,98000
118,Regular high school diploma,693000
3866,Masters degree,467000
1889,Bachelors degree,571000
1289,Pre-degree college,603000
1047,Bachelors degree,832000
1380,Pre-degree college,254000
328,GED or alternative credential,348000
4406,Masters degree,362000
8252,Associates degree,144000
2868,Bachelors degree,322000
1721,GED or alternative credential,140000
2859,N/A,218000
2432,Bachelors degree,455000
446,Regular high school diploma,458000
4100,Masters degree,469000
4085,N/A,220000
2938,Bachelors degree,391000
7299,Associates degree,165000
3134,Pre-degree college,262000
2219,Masters degree,358000
356,Masters degree,806000
544,N/A,393000
1368,Masters degree,760000
4090,Masters degree,311000
1732,GED or alternative credential,162000
871,Regular high school diploma,489000
730,N/A,362000
593,Regular high school diploma,382000
4893,GED or alternative credential,137000
2506,Masters degree,416000
3549,Masters degree,503000
160,Pre-degree college,614000
677,Masters degree,789000
1044,Regular high school diploma,496000
1658,Regular high school diploma,222000
2041,Bachelors degree,490000
110,N/A,795000
1133,Pre-degree college,496000
90,Pre-diploma grade,494000
263,Regular high school diploma,642000
936,N/A,307000
31,Pre-degree college,752000
150,Pre-diploma grade,374000
468,Bachelors degree,741000
2203,Bachelors degree,439000
2778,Masters degree,486000
341,Pre-diploma grade,281000
1234,Regular high school diploma,319000
783,Associates degree,471000
2792,Masters degree,480000
1213,N/A,301000
1226,Regular high school diploma,309000
198,Pre-degree college,597000
783,Masters degree,651000
589,Bachelors degree,700000
1377,Masters degree,459000
382,N/A,346000
2751,GED or alternative credential,151000
1521,Pre-diploma grade,200000
409,Associates degree,458000
147,Bachelors degree,1010000
7588,Bachelors degree,538000
274,Bachelors degree,810000
4792,N/A,207000
1110,N/A,293000
1342,Pre-degree college,419000
4411,Bachelors degree,270000
7381,Pre-diploma grade,156000
863,Pre-degree college,380000
1493,Bachelors degree,424000
367,Pre-diploma grade,333000
1069,Pre-degree college,361000
4078,Masters degree,393000
285,Regular high school diploma,411000
1220,Masters degree,586000
430,Associates degree,395000
1593,Pre-degree college,282000
377,Masters degree,900000
626,Masters degree,805000
2416,Bachelors degree,500000
4079,GED or alternative credential,120000
293,Regular high school diploma,472000
305,N/A,452000
101,N/A,829000
1039,Bachelors degree,609000
1317,Bachelors degree,421000
1291,Pre-degree college,489000
2512,Pre-diploma grade,160000
60,Pre-degree college,859000
745,N/A,503000
142,Bachelors degree,1056000
144,Masters degree,863000
1958,Pre-degree college,471000
953,Pre-degree college,399000
274,Masters degree,966000
1534,GED or alternative credential,188000
859,Pre-diploma grade,296000
405,Pre-degree college,598000
4033,GED or alternative credential,171000
17,Pre-diploma grade,860000
737,N/A,495000
557,Associates degree,319000
266,Pre-degree college,539000
489,Bachelors degree,671000
2159,N/A,246000
993,Bachelors degree,670000
120,N/A,712000
3812,Bachelors degree,384000
731,Bachelors degree,665000
26,Masters degree,1382000
17,Regular high school diploma,713000
958,Pre-degree college,316000
1543,GED or alternative credential,186000
2867,Associates degree,187000
200,N/A,767000
804,Pre-degree college,382000
9100,Associates degree,182000
4639,Bachelors degree,331000
222,Bachelors degree,946000
1456,Regular high school diploma,262000
945,Masters degree,606000
907,Pre-diploma grade,198000
1199,Pre-degree college,395000
131,Associates degree,556000
356,Associates degree,404000
156,Regular high school diploma,618000
102,Pre-degree college,623000
2316,Masters degree,456000
24,Bachelors degree,1124000
875,N/A,483000
526,Regular high school diploma,434000
707,Bachelors degree,-10000
1717,N/A,276000
45,GED or alternative credential,595000
5840,N/A,179000
48,Associates degree,513000
1117,Regular high school diploma,361000
1328,Regular high school diploma,419000
16,Pre-diploma grade,625000
1001,Bachelors degree,666000
2882,Bachelors degree,372000
844,N/A,311000
41,Pre-degree college,628000
1677,Regular high school diploma,395000
236,Pre-diploma grade,244000
73,GED or alternative credential,279000
257,Pre-degree college,618000
246,Associates degree,522000
598,Regular high school diploma,316000
368,Associates degree,309000
186,GED or alternative credential,338000
698,Associates degree,282000
4599,Associates degree,164000
2119,Masters degree,582000
814,Pre-degree college,404000
1603,Bachelors degree,792000
219,Associates degree,602000
438,Associates degree,254000
247,Masters degree,826000
351,Regular high school diploma,509000
2542,Masters degree,483000
1070,Masters degree,739000
142,Associates degree,545000
185,Masters degree,959000
166,Pre-degree college,573000
69,Bachelors degree,1323000
1027,Pre-diploma grade,203000
