sum(PWGTP),SCHL_grouped,PINCP_adjusted
39,Bachelors degree,1462000
18,Pre-diploma grade,741000
32,Bachelors degree,1031000
53,Pre-degree college,761000
2,Bachelors degree,1306000
22,Associates degree,970000
11,N/A,868000
8,Pre-diploma grade,810000
21,Masters degree,1574000
26,Pre-degree college,1003000
27,Regular high school diploma,802000
3,Regular high school diploma,740000
31,Pre-degree college,875000
23,Bachelors degree,1079000
36,Regular high school diploma,893000
13,Bachelors degree,1350000
9,Masters degree,1444000
54,Pre-degree college,773000
22,Bachelors degree,979000
3,Bachelors degree,993000
15,GED or alternative credential,492000
19,Associates degree,1320000
12,Pre-diploma grade,672000
23,N/A,1225000
24,GED or alternative credential,704000
2,Pre-degree college,893000
5,Pre-degree college,1272000
90,Pre-degree college,683000
20,Masters degree,1398000
35,Regular high school diploma,970000
8,GED or alternative credential,751000
14,Pre-diploma grade,799000
5,Masters degree,1635000
2,Pre-diploma grade,666000
50,Masters degree,1072000
31,GED or alternative credential,973000
31,GED or alternative credential,778000
36,Pre-diploma grade,1308000
13,N/A,1278000
6,Pre-degree college,1126000
22,N/A,995000
13,N/A,1871000
14,GED or alternative credential,553000
11,Pre-degree college,1167000
75,Masters degree,895000
28,Bachelors degree,1411000
8,Pre-diploma grade,1012000
45,N/A,1025000
8,Pre-degree college,955000
22,Regular high school diploma,872000
26,Bachelors degree,1221000
18,Pre-degree college,950000
27,Associates degree,683000
4,Regular high school diploma,1293000
20,Pre-diploma grade,832000
4,Regular high school diploma,1434000
30,GED or alternative credential,983000
26,N/A,956000
21,N/A,874000
15,N/A,1068000
11,Bachelors degree,1628000
26,N/A,1016000
9,Associates degree,1076000
28,Masters degree,1171000
150,Bachelors degree,1244000
11,Masters degree,1269000
2,Regular high school diploma,1088000
5,Masters degree,1585000
8,Masters degree,1436000
9,Bachelors degree,1044000
30,GED or alternative credential,690000
4,Pre-degree college,814000
30,Bachelors degree,1058000
6,Bachelors degree,1133000
22,Regular high school diploma,875000
32,Bachelors degree,1008000
35,Masters degree,1653000
25,Regular high school diploma,1003000
40,Pre-degree college,1076000
20,N/A,894000
23,Associates degree,881000
21,N/A,1084000
11,Masters degree,1052000
20,Regular high school diploma,1119000
2,Masters degree,1409000
38,Bachelors degree,935000
14,Bachelors degree,1193000
15,Pre-diploma grade,671000
23,Pre-degree college,834000
9,N/A,1192000
11,Pre-degree college,1033000
13,Pre-degree college,804000
11,Pre-degree college,939000
13,GED or alternative credential,676000
20,Associates degree,773000
22,Associates degree,865000
14,Bachelors degree,1038000
32,GED or alternative credential,738000
6,Masters degree,1405000
22,Associates degree,1026000
6,GED or alternative credential,1131000
21,Regular high school diploma,990000
16,Regular high school diploma,761000
6,Associates degree,845000
6362998,Pre-degree college,0
7542684,Regular high school diploma,0
822609,Regular high school diploma,30000
52107,Masters degree,150000
852458,Regular high school diploma,15000
913063,Pre-diploma grade,2000
668367,Pre-degree college,8000
297306,Bachelors degree,48000
291477,Bachelors degree,25000
43375,N/A,40000
1681192,Associates degree,0
512811,Pre-diploma grade,5000
252574,Pre-degree college,89000
727814,Regular high school diploma,35000
216892,Masters degree,73000
21953,Pre-diploma grade,76000
901445,Pre-degree college,17000
681015,Pre-degree college,4000
615702,Regular high school diploma,4000
169004,Masters degree,23000
1155268,Regular high school diploma,17000
170078,GED or alternative credential,1000
739315,Regular high school diploma,3000
748200,Regular high school diploma,20000
828961,Regular high school diploma,8000
632519,Pre-degree college,15000
390635,Pre-diploma grade,19000
589759,Pre-diploma grade,6000
392877,Regular high school diploma,63000
9864,Pre-degree college,-1000
352187,Bachelors degree,65000
84025,Masters degree,110000
115270,Masters degree,122000
142205,Associates degree,89000
333287,Pre-diploma grade,29000
5775,Masters degree,399000
199081,Regular high school diploma,61000
206101,Associates degree,15000
621189,Pre-degree college,35000
118269,Masters degree,16000
144548,GED or alternative credential,18000
123537,GED or alternative credential,7000
831453,Pre-degree college,3000
186873,Bachelors degree,82000
170720,Associates degree,3000
2715,Associates degree,207000
667737,Pre-degree college,30000
138157,Bachelors degree,137000
123241,Bachelors degree,120000
263621,Masters degree,104000
245645,Masters degree,59000
553513,Pre-degree college,20000
115126,Pre-diploma grade,57000
146833,Masters degree,40000
51608,N/A,47000
420025,Pre-degree college,63000
193417,Masters degree,42000
54264,GED or alternative credential,53000
9927,Pre-diploma grade,101000
453464,Bachelors degree,33000
131339,Bachelors degree,136000
105364,N/A,9000
106250,Masters degree,109000
325275,Pre-diploma grade,28000
44030,N/A,104000
33785,N/A,70000
85587,N/A,16000
224286,Associates degree,63000
219545,Pre-diploma grade,41000
250926,Associates degree,35000
1503,Bachelors degree,515000
35218,Masters degree,138000
114390,Pre-diploma grade,50000
24673,N/A,49000
4689,Associates degree,228000
113798,Bachelors degree,98000
103700,Bachelors degree,171000
340525,Pre-diploma grade,26000
149850,Associates degree,4000
17673,N/A,109000
83722,N/A,23000
35631,Masters degree,165000
234645,Bachelors degree,94000
2122,Bachelors degree,476000
14416,Associates degree,146000
141232,Masters degree,34000
145262,GED or alternative credential,36000
180775,Associates degree,8000
386698,Bachelors degree,39000
225929,Masters degree,47000
76331,Bachelors degree,208000
103313,Pre-diploma grade,44000
2879,Masters degree,458000
241644,Associates degree,30000
23090,Masters degree,164000
45883,Bachelors degree,186000
4796,Bachelors degree,511000
212231,Pre-degree college,61000
182310,Masters degree,45000
105236,Masters degree,90000
52518,Pre-diploma grade,54000
94438,Masters degree,37000
113049,Masters degree,9000
115540,Bachelors degree,117000
67013,N/A,24000
296020,Associates degree,17000
2899,Masters degree,395000
53301,Pre-diploma grade,83000
48639,Bachelors degree,172000
751,Regular high school diploma,242000
45268,Pre-degree college,142000
48406,Bachelors degree,232000
134865,Masters degree,49000
84481,Masters degree,113000
58186,N/A,42000
26427,Regular high school diploma,142000
92188,Bachelors degree,151000
584,Bachelors degree,1080000
184694,Associates degree,20000
141272,Masters degree,24000
43251,GED or alternative credential,67000
228935,Masters degree,70000
3738,Bachelors degree,412000
5584,Masters degree,282000
107518,Associates degree,61000
21835,Associates degree,145000
383,Pre-degree college,601000
6712,Masters degree,603000
7512,N/A,127000
71781,GED or alternative credential,43000
208103,Regular high school diploma,89000
61816,Bachelors degree,188000
18033,Masters degree,185000
1909,Masters degree,435000
76451,Masters degree,105000
244928,Bachelors degree,74000
52213,Bachelors degree,140000
5725,Pre-degree college,220000
983,Associates degree,716000
658,Masters degree,693000
17544,Pre-degree college,166000
2820,Associates degree,179000
178,Pre-degree college,495000
740,Regular high school diploma,570000
44467,Pre-diploma grade,64000
790,Pre-degree college,357000
47127,N/A,45000
40335,N/A,59000
4015,Bachelors degree,493000
37936,Pre-diploma grade,75000
23019,Pre-degree college,129000
19566,Masters degree,187000
55186,Masters degree,182000
51875,N/A,34000
3774,Masters degree,309000
4656,Masters degree,642000
25332,Pre-diploma grade,91000
7008,Bachelors degree,236000
12378,Associates degree,129000
268,Associates degree,345000
6391,Bachelors degree,279000
20900,Masters degree,211000
7337,Bachelors degree,417000
19939,N/A,122000
29447,Pre-degree college,174000
14390,Pre-diploma grade,116000
15268,GED or alternative credential,93000
8962,Bachelors degree,292000
69628,Bachelors degree,162000
32101,N/A,73000
20564,Pre-diploma grade,87000
19913,Masters degree,190000
15186,Pre-diploma grade,111000
37670,Masters degree,144000
705,Regular high school diploma,467000
15935,N/A,88000
8377,N/A,237000
39819,Pre-degree college,145000
17474,N/A,90000
65,Pre-degree college,829000
8522,Pre-degree college,261000
25469,GED or alternative credential,80000
6513,Pre-diploma grade,115000
8755,Regular high school diploma,189000
15590,GED or alternative credential,86000
42376,Masters degree,127000
5094,Bachelors degree,405000
2758,Associates degree,220000
10116,N/A,150000
4245,N/A,211000
8066,Pre-degree college,179000
780,Masters degree,713000
13200,Bachelors degree,348000
7063,Pre-diploma grade,130000
3024,Bachelors degree,485000
20512,Bachelors degree,250000
846,Pre-degree college,427000
810,Masters degree,653000
24425,Regular high school diploma,145000
27022,Bachelors degree,219000
5157,Bachelors degree,264000
14433,N/A,113000
14604,Masters degree,262000
421,Masters degree,820000
105528,Masters degree,88000
45634,Masters degree,237000
5978,Bachelors degree,253000
9519,N/A,182000
7435,N/A,144000
11918,N/A,105000
3173,Masters degree,419000
4224,N/A,187000
13839,N/A,110000
1615,N/A,471000
5025,Bachelors degree,320000
10527,Bachelors degree,233000
23180,Associates degree,142000
3086,Bachelors degree,368000
7750,Pre-degree college,181000
2032,Bachelors degree,595000
28795,N/A,37000
8045,Regular high school diploma,155000
2188,Bachelors degree,611000
6164,Pre-degree college,207000
899,Masters degree,701000
3833,Pre-diploma grade,131000
2055,Regular high school diploma,220000
27302,GED or alternative credential,66000
1200,Bachelors degree,633000
18213,Regular high school diploma,146000
10846,Pre-degree college,155000
799,Associates degree,307000
750,Masters degree,685000
4919,N/A,164000
5702,Associates degree,155000
13460,Masters degree,222000
8101,Regular high school diploma,228000
2763,Associates degree,-1000
1422,Pre-diploma grade,-6000
1436,Masters degree,573000
19623,Masters degree,170000
587,GED or alternative credential,176000
77,N/A,628000
582,Pre-diploma grade,214000
21496,Pre-degree college,141000
28604,Pre-degree college,146000
11922,Pre-degree college,228000
1508,Masters degree,411000
3630,Masters degree,316000
1299,Masters degree,623000
9410,Masters degree,319000
10807,Associates degree,141000
2520,Masters degree,305000
14409,Associates degree,174000
7250,Associates degree,189000
10212,Pre-degree college,194000
18799,Regular high school diploma,174000
4025,Masters degree,473000
1508,Masters degree,649000
865,Associates degree,276000
10050,Associates degree,166000
3573,Regular high school diploma,179000
3319,GED or alternative credential,119000
758,N/A,489000
1919,Masters degree,513000
12549,GED or alternative credential,100000
3658,Associates degree,194000
1863,Regular high school diploma,218000
1436,Bachelors degree,363000
780,Regular high school diploma,506000
11132,Regular high school diploma,141000
788,Masters degree,743000
4430,Bachelors degree,771000
5424,Masters degree,489000
2061,Masters degree,509000
895,GED or alternative credential,173000
2367,Associates degree,206000
1166,N/A,496000
1355,Pre-degree college,362000
997,Regular high school diploma,307000
10565,Bachelors degree,355000
1062,N/A,754000
288,Masters degree,864000
1913,Masters degree,403000
2324,Pre-degree college,246000
1107,Pre-degree college,469000
14400,Pre-degree college,189000
11879,Regular high school diploma,166000
1069,Pre-degree college,346000
435,GED or alternative credential,313000
7293,N/A,165000
871,Masters degree,636000
5636,Pre-diploma grade,134000
3158,Bachelors degree,514000
4652,Bachelors degree,617000
268,Regular high school diploma,555000
417,Pre-diploma grade,401000
6129,N/A,138000
6937,Masters degree,471000
827,Pre-diploma grade,414000
3703,Bachelors degree,338000
14621,Pre-diploma grade,99000
3537,N/A,185000
7984,Pre-degree college,278000
2293,Pre-degree college,-7000
5624,Bachelors degree,559000
5075,Pre-diploma grade,148000
1770,GED or alternative credential,132000
6044,Pre-degree college,206000
821,Pre-degree college,452000
5438,Masters degree,332000
2537,Masters degree,382000
384,N/A,430000
530,GED or alternative credential,229000
833,N/A,603000
1363,Associates degree,230000
10002,Masters degree,-2000
14474,Regular high school diploma,129000
260,N/A,539000
247,Bachelors degree,978000
5801,Masters degree,254000
3292,Associates degree,181000
3916,N/A,190000
1297,Pre-diploma grade,195000
671,Regular high school diploma,358000
1627,Pre-degree college,716000
2806,Bachelors degree,466000
328,N/A,701000
680,Pre-degree college,503000
13800,Pre-diploma grade,84000
649,Regular high school diploma,486000
2025,Bachelors degree,612000
3787,Regular high school diploma,278000
1305,Pre-degree college,467000
755,Pre-degree college,393000
1337,Associates degree,560000
1997,Bachelors degree,697000
860,N/A,335000
1238,Bachelors degree,588000
677,Pre-diploma grade,300000
2029,Masters degree,618000
19337,Pre-diploma grade,79000
4529,Regular high school diploma,181000
2073,Regular high school diploma,560000
3022,Masters degree,380000
1585,Bachelors degree,532000
1113,Associates degree,-7000
308,Associates degree,416000
9902,Masters degree,754000
556,Regular high school diploma,393000
3254,Masters degree,335000
5068,Bachelors degree,497000
944,Regular high school diploma,311000
1142,Pre-degree college,311000
3642,Bachelors degree,527000
1319,Bachelors degree,574000
1619,Pre-diploma grade,163000
7430,Masters degree,306000
950,Regular high school diploma,301000
2451,Masters degree,404000
50,GED or alternative credential,643000
1187,Masters degree,735000
374,Masters degree,818000
3212,N/A,-2000
1999,Masters degree,-8000
2503,Masters degree,434000
643,Bachelors degree,585000
4283,Pre-degree college,245000
6228,Masters degree,496000
1235,Pre-degree college,506000
469,Bachelors degree,788000
2004,Pre-degree college,289000
626,Regular high school diploma,448000
773,N/A,361000
482,Bachelors degree,790000
299,Pre-diploma grade,-5000
1405,N/A,332000
1567,Bachelors degree,604000
2715,Masters degree,602000
737,Bachelors degree,677000
959,Associates degree,242000
124,Bachelors degree,858000
325,Masters degree,859000
2861,GED or alternative credential,123000
653,N/A,419000
4784,GED or alternative credential,128000
1131,Associates degree,216000
3179,Regular high school diploma,206000
1793,Regular high school diploma,245000
416,Associates degree,506000
193,N/A,623000
770,Regular high school diploma,716000
4081,Regular high school diploma,207000
5893,Masters degree,522000
971,Regular high school diploma,469000
638,N/A,434000
2796,N/A,262000
4277,N/A,170000
4438,Masters degree,361000
181,Masters degree,888000
198,Associates degree,543000
4311,Regular high school diploma,194000
8983,Bachelors degree,271000
1848,Bachelors degree,378000
387,Associates degree,358000
244,Bachelors degree,835000
3644,Bachelors degree,328000
5363,Bachelors degree,464000
3237,Pre-degree college,560000
2182,N/A,319000
4577,Regular high school diploma,261000
382,Pre-degree college,543000
1383,Masters degree,608000
614,Masters degree,796000
3354,Pre-degree college,216000
798,Regular high school diploma,346000
2144,Pre-degree college,302000
477,Masters degree,769000
433,Bachelors degree,785000
1491,Pre-degree college,276000
1045,Pre-degree college,293000
685,Masters degree,634000
442,Associates degree,318000
2523,Masters degree,501000
393,Masters degree,919000
6869,Regular high school diploma,-1000
527,N/A,642000
104,Masters degree,964000
668,Regular high school diploma,503000
1740,Masters degree,650000
489,Regular high school diploma,427000
87,GED or alternative credential,331000
276,Pre-diploma grade,287000
387,Bachelors degree,639000
1182,GED or alternative credential,177000
651,Associates degree,289000
1562,Masters degree,709000
3265,Pre-degree college,249000
114,N/A,1156000
220,Bachelors degree,926000
83,Pre-degree college,873000
228,N/A,608000
795,N/A,399000
2258,Pre-diploma grade,147000
1205,Pre-degree college,321000
433,GED or alternative credential,215000
1785,Regular high school diploma,249000
806,Masters degree,744000
3029,GED or alternative credential,121000
1381,Masters degree,614000
1282,Pre-degree college,301000
981,Masters degree,711000
2180,Masters degree,539000
694,Regular high school diploma,381000
4685,Bachelors degree,520000
2620,Pre-degree college,230000
1694,Regular high school diploma,216000
671,GED or alternative credential,169000
413,Associates degree,346000
163,GED or alternative credential,323000
1891,Masters degree,545000
152,Pre-degree college,661000
1003,N/A,309000
1216,N/A,306000
1792,Regular high school diploma,302000
415,Regular high school diploma,483000
1889,Masters degree,472000
541,N/A,602000
4239,Pre-degree college,234000
177,Masters degree,867000
204,Pre-diploma grade,267000
1929,Bachelors degree,426000
557,Pre-degree college,459000
460,Masters degree,752000
1564,Associates degree,245000
23,GED or alternative credential,571000
2718,N/A,222000
1996,Masters degree,581000
4325,Associates degree,261000
639,N/A,458000
403,Pre-degree college,453000
932,Pre-degree college,486000
137,Associates degree,495000
576,Regular high school diploma,345000
344,Associates degree,730000
584,Pre-degree college,448000
1226,Regular high school diploma,246000
1599,Regular high school diploma,234000
302,Pre-degree college,529000
2094,Masters degree,556000
382,N/A,305000
125,Associates degree,582000
143,N/A,746000
593,Pre-degree college,456000
1159,Associates degree,218000
1675,Masters degree,413000
36,GED or alternative credential,421000
1200,Pre-diploma grade,213000
99,GED or alternative credential,303000
41,GED or alternative credential,270000
1872,Regular high school diploma,-7000
1594,Bachelors degree,530000
347,Associates degree,601000
570,Pre-degree college,416000
2277,Masters degree,430000
2212,Pre-degree college,242000
48,Pre-degree college,779000
764,Regular high school diploma,321000
127,Pre-diploma grade,751000
206,N/A,685000
183,N/A,614000
3334,Associates degree,278000
65,Regular high school diploma,760000
348,Associates degree,357000
242,Associates degree,480000
121,Regular high school diploma,728000
407,Regular high school diploma,362000
630,Regular high school diploma,431000
74,GED or alternative credential,241000
1627,Pre-diploma grade,153000
2927,Masters degree,598000
698,N/A,395000
269,Pre-diploma grade,546000
835,Regular high school diploma,318000
503,Pre-degree college,534000
1465,Regular high school diploma,276000
799,N/A,282000
479,Pre-degree college,381000
909,Associates degree,302000
698,Masters degree,628000
844,Pre-degree college,483000
60,Pre-diploma grade,659000
128,Pre-diploma grade,337000
523,Pre-diploma grade,449000
149,Regular high school diploma,456000
2720,Pre-degree college,218000
357,Associates degree,362000
128,N/A,711000
388,GED or alternative credential,191000
82,N/A,796000
754,Regular high school diploma,293000
247,N/A,509000
920,GED or alternative credential,205000
391,Associates degree,293000
778,Pre-degree college,345000
618,Pre-diploma grade,217000
1148,GED or alternative credential,180000
949,Pre-degree college,318000
291,GED or alternative credential,439000
1059,Bachelors degree,587000
389,Pre-diploma grade,441000
29,Pre-diploma grade,641000
1107,Masters degree,597000
209,N/A,581000
889,Bachelors degree,657000
1155,N/A,254000
458,Pre-degree college,582000
30,Masters degree,1270000
496,Regular high school diploma,459000
70,Associates degree,586000
535,Bachelors degree,768000
413,N/A,435000
484,Pre-diploma grade,202000
1530,Regular high school diploma,230000
810,Pre-diploma grade,201000
416,N/A,545000
212,Bachelors degree,781000
352,Pre-diploma grade,468000
13,Masters degree,1158000
2077,Associates degree,234000
172,Associates degree,570000
121,GED or alternative credential,372000
22,Masters degree,1137000
253,N/A,403000
468,Masters degree,774000
734,Associates degree,246000
418,N/A,404000
1223,Associates degree,249000
670,Pre-degree college,358000
589,N/A,-8000
420,Pre-diploma grade,350000
281,N/A,573000
781,Pre-diploma grade,285000
504,Bachelors degree,848000
93,GED or alternative credential,322000
92,Bachelors degree,1002000
265,Pre-degree college,555000
608,Bachelors degree,791000
989,N/A,522000
22,Masters degree,1005000
1069,Bachelors degree,518000
269,N/A,556000
160,Masters degree,745000
299,Pre-diploma grade,365000
669,Bachelors degree,626000
1702,Bachelors degree,369000
118,Pre-degree college,703000
680,Regular high school diploma,357000
68,N/A,693000
231,Pre-diploma grade,400000
289,Pre-diploma grade,373000
299,Associates degree,486000
19,Pre-diploma grade,624000
1157,Regular high school diploma,289000
305,Pre-diploma grade,377000
14,Masters degree,1141000
353,Pre-degree college,606000
416,Pre-degree college,593000
173,Pre-diploma grade,310000
155,N/A,634000
674,Bachelors degree,772000
144,Masters degree,1166000
317,Associates degree,393000
148,Pre-diploma grade,295000
54,GED or alternative credential,391000
395,Associates degree,427000
203,Regular high school diploma,739000
885,Bachelors degree,675000
155,Bachelors degree,986000
734,Bachelors degree,629000
253,Pre-diploma grade,343000
18,Pre-degree college,694000
284,Masters degree,882000
355,Regular high school diploma,534000
7,Masters degree,1563000
587,Pre-degree college,480000
295,Masters degree,807000
235,Associates degree,453000
504,Bachelors degree,1087000
403,N/A,513000
115,Pre-diploma grade,477000
14,Associates degree,739000
198,Pre-diploma grade,275000
46,GED or alternative credential,1010000
36,Pre-degree college,1036000
522,Bachelors degree,619000
27,Masters degree,1373000
550,Bachelors degree,689000
231,Pre-diploma grade,314000
476,Regular high school diploma,480000
421,N/A,413000
307,Associates degree,321000
1111,Bachelors degree,536000
223,Regular high school diploma,495000
487,Associates degree,467000
154,N/A,649000
412,N/A,472000
730,Pre-degree college,431000
252,Associates degree,381000
34,N/A,1503000
468,Pre-diploma grade,204000
275,Pre-degree college,586000
468,Bachelors degree,757000
21,Pre-diploma grade,553000
20,N/A,807000
165,Pre-degree college,749000
131,Bachelors degree,985000
59,Regular high school diploma,661000
302,Regular high school diploma,416000
204,Masters degree,1023000
174,Pre-diploma grade,394000
389,N/A,501000
211,Pre-degree college,730000
117,Pre-diploma grade,484000
13,N/A,1166000
40,Pre-degree college,900000
61,N/A,636000
440,Regular high school diploma,452000
32,GED or alternative credential,1114000
155,Associates degree,534000
708,Masters degree,841000
41,Pre-diploma grade,699000
443,Pre-diploma grade,558000
44,GED or alternative credential,672000
28,Regular high school diploma,963000
113,Pre-diploma grade,738000
548,Bachelors degree,630000
699,N/A,316000
467,Associates degree,301000
275,Pre-diploma grade,240000
454,Associates degree,311000
259,Masters degree,945000
112,GED or alternative credential,538000
1099,N/A,473000
7,Masters degree,1055000
116,Pre-diploma grade,507000
46,Masters degree,1004000
9,N/A,953000
267,Regular high school diploma,543000
599,Bachelors degree,715000
193,GED or alternative credential,540000
1407,Pre-degree college,307000
32,Masters degree,1352000
108,Bachelors degree,821000
143,Bachelors degree,763000
29,N/A,882000
422,Bachelors degree,813000
351,Bachelors degree,891000
19,Associates degree,829000
452,Masters degree,746000
20,Masters degree,1154000
149,Pre-diploma grade,461000
700,N/A,380000
59,GED or alternative credential,455000
183,Bachelors degree,879000
508,Bachelors degree,861000
26,Masters degree,1393000
165,Pre-diploma grade,268000
154,Pre-diploma grade,510000
48,Pre-degree college,651000
433,Pre-diploma grade,440000
123,Pre-diploma grade,336000
77,Pre-diploma grade,457000
177,Masters degree,913000
10,Regular high school diploma,1283000
170,Masters degree,953000
183,Pre-diploma grade,516000
49,Pre-diploma grade,517000
73,GED or alternative credential,315000
76,N/A,864000
372,Masters degree,1156000
145,Regular high school diploma,606000
63,Regular high school diploma,819000
10,Associates degree,767000
134,Masters degree,838000
30,Masters degree,984000
334,N/A,709000
102,GED or alternative credential,397000
101,Bachelors degree,968000
156,GED or alternative credential,500000
165,Bachelors degree,866000
25,GED or alternative credential,702000
574,Regular high school diploma,582000
3,Associates degree,750000
463,Pre-diploma grade,224000
40,Bachelors degree,1289000
108,GED or alternative credential,344000
161,N/A,745000
255,Associates degree,459000
175,Pre-degree college,680000
321,Regular high school diploma,730000
128,Bachelors degree,1065000
19,GED or alternative credential,705000
88,Pre-degree college,892000
61,Regular high school diploma,795000
109,Masters degree,912000
330,Bachelors degree,682000
250,Pre-diploma grade,644000
222,Regular high school diploma,453000
35,Bachelors degree,1218000
38,Associates degree,529000
123,Pre-diploma grade,330000
81,Pre-diploma grade,465000
31,GED or alternative credential,666000
426,N/A,598000
27,N/A,1349000
209,Regular high school diploma,593000
20,Pre-diploma grade,635000
87,Regular high school diploma,779000
106,GED or alternative credential,238000
227,Pre-diploma grade,429000
29,N/A,769000
19,Pre-diploma grade,387000
700,Pre-degree college,570000
130,Bachelors degree,930000
20,Masters degree,1328000
32,Pre-diploma grade,787000
251,Associates degree,483000
63,N/A,1019000
178,N/A,618000
353,GED or alternative credential,698000
96,Pre-diploma grade,482000
333,Bachelors degree,928000
78,N/A,940000
118,Masters degree,908000
343,N/A,653000
231,N/A,945000
357,Masters degree,871000
241,Regular high school diploma,601000
108,GED or alternative credential,645000
21,N/A,1129000
60,N/A,744000
27,Regular high school diploma,892000
124,GED or alternative credential,353000
126,GED or alternative credential,324000
66,Bachelors degree,1078000
119,Pre-diploma grade,488000
72,Regular high school diploma,749000
408,N/A,382000
92,Regular high school diploma,764000
219,N/A,597000
4,Regular high school diploma,849000
292,GED or alternative credential,255000
6,Bachelors degree,1086000
145,GED or alternative credential,340000
202,Pre-diploma grade,521000
10,Masters degree,1487000
3,Masters degree,1889000
21,N/A,989000
14,Masters degree,903000
133,GED or alternative credential,504000
8,Bachelors degree,1234000
117,GED or alternative credential,398000
93,N/A,859000
108,Bachelors degree,925000
34,Pre-degree college,959000
40,Bachelors degree,904000
150,Bachelors degree,854000
25,Regular high school diploma,829000
189,Associates degree,503000
72,N/A,1023000
119,Pre-degree college,750000
80,Pre-diploma grade,660000
224,Associates degree,431000
49,Regular high school diploma,-12000
22,Bachelors degree,1292000
129,Pre-diploma grade,793000
42,N/A,919000
134,N/A,752000
77,Pre-diploma grade,470000
226,Associates degree,448000
411,Associates degree,469000
46,Regular high school diploma,651000
50,Associates degree,680000
232,Pre-diploma grade,283000
107,Regular high school diploma,529000
30,Pre-degree college,1386000
165,N/A,650000
198,GED or alternative credential,257000
53,GED or alternative credential,609000
94,Bachelors degree,812000
73,Masters degree,883000
25,Pre-degree college,910000
45,Pre-degree college,806000
7,Bachelors degree,932000
6,Regular high school diploma,961000
1,Regular high school diploma,1597000
15,Masters degree,1285000
121,N/A,743000
58,Pre-degree college,805000
72,Pre-diploma grade,423000
16,GED or alternative credential,954000
19,Masters degree,1205000
55,Bachelors degree,1329000
46,Pre-diploma grade,519000
59,Regular high school diploma,767000
27,Associates degree,906000
26,Associates degree,805000
20,Pre-diploma grade,983000
148,N/A,713000
50,Pre-diploma grade,679000
96,Pre-diploma grade,552000
122,Pre-diploma grade,454000
17,Pre-diploma grade,616000
34,Regular high school diploma,880000
76,GED or alternative credential,280000
81,GED or alternative credential,339000
57,N/A,841000
244,Pre-diploma grade,462000
256,Masters degree,940000
9,GED or alternative credential,478000
11,Masters degree,1232000
357,GED or alternative credential,542000
20,Associates degree,760000
289,Bachelors degree,987000
10,Pre-degree college,833000
32,Masters degree,1253000
39,GED or alternative credential,946000
176,GED or alternative credential,463000
63,Pre-degree college,797000
56,Pre-diploma grade,492000
41,Pre-diploma grade,596000
18,Pre-diploma grade,359000
121,Masters degree,1275000
36,Regular high school diploma,680000
12,Pre-diploma grade,980000
313,N/A,411000
115,Masters degree,1091000
12,Bachelors degree,1011000
42,Bachelors degree,1315000
5,Regular high school diploma,1226000
33,GED or alternative credential,832000
49,Pre-degree college,795000
98,N/A,774000
5,GED or alternative credential,668000
14,Pre-diploma grade,973000
27,Masters degree,1043000
11,GED or alternative credential,424000
107,Regular high school diploma,586000
48,Pre-degree college,767000
12,Pre-degree college,1180000
15,Regular high school diploma,863000
23,Pre-diploma grade,914000
10,Pre-degree college,1007000
2,Bachelors degree,1650000
44,Bachelors degree,1165000
59,Masters degree,989000
10,Associates degree,728000
14,N/A,1055000
46,N/A,820000
9,N/A,908000
13,Masters degree,1595000
31,GED or alternative credential,325000
67,Masters degree,965000
54,N/A,913000
57,Associates degree,555000
68,GED or alternative credential,438000
18,Bachelors degree,1743000
29,Masters degree,962000
11,Associates degree,712000
52,Regular high school diploma,826000
16,Associates degree,694000
79,Associates degree,452000
11,Associates degree,900000
12,N/A,818000
42,Pre-degree college,1027000
160,Associates degree,456000
26,Bachelors degree,1282000
51,GED or alternative credential,-10000
42,Pre-diploma grade,557000
67,Associates degree,703000
100,Masters degree,933000
17,Pre-degree college,739000
10,Pre-degree college,1266000
48,Masters degree,1252000
110,Bachelors degree,1276000
24,Pre-degree college,863000
57,Regular high school diploma,1040000
16,Pre-degree college,1111000
3,Regular high school diploma,805000
17,Associates degree,920000
6,Regular high school diploma,1116000
7,Regular high school diploma,1291000
57,Pre-diploma grade,817000
8,Associates degree,1039000
30,Pre-diploma grade,770000
33,Bachelors degree,1006000
11,N/A,883000
5,Bachelors degree,1586000
26,Regular high school diploma,1180000
2,Regular high school diploma,1364000
49,Pre-diploma grade,777000
66,Pre-degree college,728000
81,GED or alternative credential,367000
6,Associates degree,1120000
44,Regular high school diploma,703000
11,Bachelors degree,1359000
14,Pre-degree college,1040000
28,Bachelors degree,1261000
65,Associates degree,651000
23,Pre-diploma grade,727000
20,Regular high school diploma,833000
54,Pre-degree college,-12000
13,N/A,1297000
15,Pre-diploma grade,721000
41,Masters degree,1457000
8,Associates degree,873000
7,N/A,984000
18,Masters degree,1228000
34,Pre-degree college,819000
25,GED or alternative credential,490000
15,Masters degree,1132000
42,Bachelors degree,943000
20,Pre-degree college,1291000
34,GED or alternative credential,-11000
94,GED or alternative credential,384000
41,Masters degree,1217000
11,N/A,1005000
27,Associates degree,1226000
97,Bachelors degree,924000
18,Masters degree,1019000
115,Pre-degree college,760000
64,N/A,735000
16,Associates degree,959000
13,Associates degree,1061000
37,GED or alternative credential,481000
79,Pre-diploma grade,526000
19,Regular high school diploma,1013000
6,Pre-degree college,1290000
13,Bachelors degree,1212000
