POVPIP_grouped,avg_income
Below Poverty Line (50-99),9878.792364362904
Extreme Poverty (<50),2054.6361446343662
High Income (400+),86226.46641413076
Low Income (100-199),18256.965350338276
Middle Income (200-399),32992.6598920672
