PWGTP,ESR,name,Income
2303,Unemployed/NA,Supplementary Security Income [SSIP],1000
2192,Unemployed/NA,Public Assistance Income [PAP],2000
3854,Unemployed/NA,Public Assistance Income [PAP],1000
3854,Unemployed/NA,Supplementary Security Income [SSIP],9000
1393,Unemployed/NA,Supplementary Security Income [SSIP],10000
1896,Civilian employed,Public Assistance Income [PAP],6000
1685,Civilian employed,Public Assistance Income [PAP],2000
1015,Civilian employed,Public Assistance Income [PAP],3000
1075,Civilian employed,Public Assistance Income [PAP],1000
1144,Civilian employed,Public Assistance Income [PAP],2000
1139,Civilian employed,Supplementary Security Income [SSIP],10000
1322,Civilian employed,Public Assistance Income [PAP],2000
1768,Civilian employed,Public Assistance Income [PAP],1000
3879,Unemployed/NA,Supplementary Security Income [SSIP],7000
3795,Unemployed/NA,Supplementary Security Income [SSIP],7000
5013,Unemployed/NA,Supplementary Security Income [SSIP],2000
1235,Unemployed/NA,Supplementary Security Income [SSIP],2000
9794,Unemployed/NA,Public Assistance Income [PAP],3000
1138,Civilian employed,Public Assistance Income [PAP],5000
4375,Unemployed/NA,Supplementary Security Income [SSIP],5000
4608,Unemployed/NA,Supplementary Security Income [SSIP],10000
11371,Unemployed/NA,Public Assistance Income [PAP],2000
11371,Unemployed/NA,Supplementary Security Income [SSIP],10000
23538,Unemployed/NA,Supplementary Security Income [SSIP],10000
2440,Civilian employed,Public Assistance Income [PAP],1000
3342,Unemployed/NA,Supplementary Security Income [SSIP],12000
3540,Unemployed/NA,Supplementary Security Income [SSIP],2000
1206,Unemployed/NA,Supplementary Security Income [SSIP],14000
1032,Civilian employed,Public Assistance Income [PAP],1000
1377,Unemployed/NA,Supplementary Security Income [SSIP],9000
1269,Unemployed/NA,Supplementary Security Income [SSIP],18000
1353,Unemployed/NA,Supplementary Security Income [SSIP],13000
2413,Unemployed/NA,Supplementary Security Income [SSIP],14000
1563,Unemployed/NA,Supplementary Security Income [SSIP],15000
6026,Unemployed/NA,Supplementary Security Income [SSIP],5000
2440,Unemployed/NA,Supplementary Security Income [SSIP],9000
1688,Civilian employed,Public Assistance Income [PAP],1000
3739,Unemployed/NA,Supplementary Security Income [SSIP],6000
3142,Unemployed/NA,Supplementary Security Income [SSIP],2000
1183,Unemployed/NA,Public Assistance Income [PAP],3000
1074,Civilian employed,Public Assistance Income [PAP],2000
4716,Civilian employed,Supplementary Security Income [SSIP],10000
